text,pred,gold
He predicts that the underlying rate of inflation -the inflationary pressure built into the structure of the economy - will fall from about 10 percent now to 6 or 8 percent within a year and to 3 percent within three to five years.,['none'],['no narrative']
"He proposes easing inflation through natural market forces, saying that once the economy is revived, new jobs will flow automatically. automatically.",['monetary'],['demand' 'supply']
He reasons that inflation and wage rises result in a shortage of investment capital to expand production.,['monetary'],['cost-push']
"He said Kroger is camvinced that It has the right combination for profitable growth, being in the necessities business at a time when consumer spending is cautious, in a popular pricing business w hen everyone is budget conscious, and in a cash business at a time when inflation is a problem to companies v~nth long delays between soles and deliveries.",['demand'],['cost-push']
He said inflation was a big factor in the increased costs of doing business.,['cost-push'],['cost-push']
"He said inflation was every American's problem and that the nation's economic, military and spiritual strength depended on solving it.",['expect'],['social']
"He said national security was threat--. ened by inflation resulting from oil import costs as well as ""by the unchecked and wasteful nuclear arms race.""",['monetary'],['supply' 'social']
"He said the recommendation of 8.66g for full pay was ""inconsistent with my course of ac- tion to build a strong and stable economy and to bring inflation under control.",['monetary'],['wage']
Hedge Inflation. 222-9229.,['monetary'],['no narrative']
"Holloway, in his first news conference since becom- ing chief of naval operations on July 1, said the inflation rate for ship- building was 22%,S, roughly 10 points higher than for consumer goods.",['monetary'],['no narrative']
"House, Senate Adopt Budgets With Deficits From Time, Wire Services WASHINGTON-The House and Senate Thursday approved slightly different versions of a 1977 federal budget which supporters said would create almost a million new jobs and critics said might reignite inflation nnd qet hark Pennnmic Both are about $19 billion more than President Ford proposed last January and would produce a deficit of more than $50 billion.",['fiscal'],['fiscal']
"I fear that there are too many people who believe that the unemployed must be used as a buffer stock against inflation.""",['none'],['social']
"I think it (inflation control) can be done without that.""",['none'],['no narrative']
INFLATION.,['none'],['no narrative']
"Ideal for retired couple to hedge against Inflation I Owner wants offerl JEFF WILLIAMS, 844-1117.",['none'],['no narrative']
"If Mr. Carter seems to have a handle on Inflation, unemployment, unemployment, and the gas pumps, and if conditions of relative peace are still In effect, he will be a tough guy to beat.",['none'],['fiscal' 'social']
"If interest rates continue continue to drop and if inflation continues, money will be more available.""",['monetary'],['savings']
"In Charles de Gaulle's famous phrase, gold has ""eternally and universally been regarded as the unalterable currency par excellence""--when wars loom or inflation seems out of control.",['monetary'],['savings']
"In a separate report, the Labor Department said wages again failed to keep pace with inflation.",['wage'],['no narrative']
"In a speech to the fifty-ninth annual meeting of the United States Chamber of Commerce, Mr. Nixon took issue with some private economists who had said that Administration policies policies had made little progress in curbing inflation.",['monetary'],['fiscal']
"In addition to the problems of inflation and unemployment, the nation's international financial accounts are badly out of balance.",['international'],['no narrative']
"In addition, James W. Button, senior vice president, merchandising, said a ""moderate"" inflation rate of 5~ ~ to 6~~ a yaar wouldn't significantly hurl Sears sale or profit.",['none'],['cost-push']
"In all, by the end of the agreement in 1975, the overall posted price--including freight and inflation ---will slightly exceed $3.92 per barrel.",['monetary'],['no narrative']
"In an address before the Business Council, Ford said he is ""deeply concerned"" about ""three domestic devils inflation, recession and energy.""",['monetary'],['social']
"In an effort to soothe anxiety over the rising cost of living, President Nixon set up a so-called ""inflation alert"" to focus attention on the problem.",['none'],['cost' 'govt' 'social']
"In arguing for restraint in applying restraint, National City makes its fear explicit;""Since the limits of public tolerance presumably would be exceeded when the unemployment rate reached the 7^/r to 87^ range, action now would only lead to recklessly stimulative monetary and fiscal policies in 1975 and even more rapid inflation in subsequent years.""",['monetary'],['monetary' 'fiscal']
"In fact, with good planning, the small business owner can even benefit from inflation.",['none'],['no narrative']
"In sum, I personally feel that the mystery of the current bout of inflation in the United States is readily solvable; it is as much a direct consequence of the dollar s devaluations as any other cause.",['monetary'],['international']
"In the face of inflation, he may have fewer people next fiscal year.",['cost-push'],['cost-push']
"In the first instance, accelerating inflation has driven the replacement cost of capital, in its physical sense, to substantially above the capital consumption allowances chargeable against historical cost.",['monetary'],['cost-push']
"In the last 10 years expenditures for food away from home, expressed in constant dollars [adjusted for inflation], in- creased by 31.5 per cent.",['demand'],['no narrative']
"In the meeting, Kemp said he heard ""a number of Democrats as well as Republicans' very much frustrated by a desire to fight inflation by slowing down the economy.",['fiscal'],['fiscal']
"In the recent revival of academic and political discussion of U.S. exchange-rate policy, we have been critical of the floating experience, which, accidentally or not, happens to coincide with the worst global inflation and recession in decades.",['international'],['international']
Increased employee militance and the desire of employees to keep ahead of inflation have put irresistible pressures on local local officials.,['none'],['wage' 'social']
"Industry geologists es- timate that monitoring wells would cost roughly the same as producing wells and, taking inflation into ac- count, the figure could reach $150 to $200 a foot at Island Park.",['monetary'],['no narrative']
Inflation Is probably the main reason for the dearth of bodies In many cocktail lounges and nightspots.,['none'],['cost']
"Inflation Tide Ebbing, Commerce Chief Says BY DAVID KLEMENT Free Press Business Writer The current economic slump ""has several months to run"" but it appears that ""the back of inflation has been broken,"" Commerce Secretary Frederick B. Dent said in Detroit Detroit Monday.",['monetary'],['no narrative']
Inflation a problem?,['demand'],['no narrative']
Inflation and general economic uncertainty uncertainty are causing some confident people to insist on even bigger jumps.,['expect'],['uncertain']
"Inflation has increased prices, he said, and the original $6 million building would cost over $9 million today.",['cost-push'],['no narrative']
"Inflation hit 13.3% during 1979, the worst year for high prices since World War II price controls were removed in 1946.",['no narrative'],['no narrative']
Inflation is at work here.,['none'],['no narrative']
Inflation is eating into savings.but neither Congress nor the president has been able to do much about it.,['none'],['savings']
Inflation is pushing everyday expenses up-GM says its costs are rising at a 12% annual rate.,['cost-push'],['cost' 'cost-push']
"Inflation was running at 200 percent a year as the price of basic necessities, usually only available on the black market, went out of sight.",['none'],['cost']
"Inflation worries many of the pessimists, and bothers everyone else, especially anyone who s been out shopping for Christmas presents and remembers what last year s prices were like.",['purchase'],['cost' 'social']
"Inflation, too, hits government, just as it hits household or business costs.",['fiscal'],['cost' 'govt' 'cost-push']
Inflation-hardened workers tend to spend their incomes quickly after payday in order to buy as many of their needs as possible before prices go up again.,['none'],['cost']
"Instead, he is caught in the same inflation squeeze as everyone else, perhaps more so.",['none'],['no narrative']
Interest rates the cost or price of money almost always follow the inflation spiral upward.,['monetary'],['savings']
"It came in response to this question: Which statement do you tend to agree with more: (A) Inflation and the cost of living are such difficult problems that there is not much any president can do about them, or (B) Jimmy Carter is just not handling inflation and thecost of living as well as a president should?",['none'],['no narrative']
"It encourages them to use their resources resources in ways they wouldn't dream of if more explicit taxes (direct income taxes, for instance) replaced the inflation tax.""",['monetary'],['no narrative']
"It is not a problem inherent in black culture, but affects blacks more because they are more often the victims of inflation, inadequate educational opportunities, unemployment and under-employment.",['none'],['redistribution' 'social']
"It may also tend to undercut our national effort to fight inflation.""",['expect'],['no narrative']
"It said 48% of 1,111 re- voters surveyed by tele- phone cited inflation as their chief worry while 21% cited energy prob- lems.",['expect'],['social']
It seems that many businessmen and economists are saying that inflation is becoming such a serious problem that the only way to beat it Is to have higher unem. ployment.,['none'],['demand' 'supply']
It shatters the myth that Communist economic planning rules our inflation.,['none'],['other-cause']
"It tells you why silver has grown 147 in 12 months, it itemizes its vast uses, it offers some sound suggestions on beating inflation, and it lets you know why the projections projections for silver are higher than ever.",['none'],['savings']
"It was also an era during which was spawned filth, inflation, poverty pockets, noise, traffic congestion and ugliness.",['none'],['no narrative']
It was an abomination that would only have aggravated our inflation.,['none'],['no narrative']
"It was both natural and necessary that Mr. Heath ran his campaign on issues Britain's inflation, its still-parlous economic economic condition (a fact brought home most timely by balance-of-payment figures figures published just before election day and showing a $74-million deficit in trade for May), and the inability of Mr. Wilson generally to establish national policies and stick to them against the dogmatic socialists and the selfish union leaders in his party.",['fiscal'],['international' 'social']
"It was the president's first reference reference to the possibility of further tax cuts to check the drag effects on the economy from legislated tax increases in Social Security and energy and the effects of inflation, inflation, which pushes income into ever higher tax brackets.",['fiscal'],['cost' 'govt']
"It will stage a series of inflation ""forums"" around the country and will also invite business and labor to consult with the White House often.",['monetary'],['no narrative']
Jack Mabley Inflation: The outlook is INFLATION IS the No.,['none'],['no narrative']
"Japan suffered the hittitst Inflation rate of 14.1 ptr cant, followtt by Turkty, Portugal Portugal anl Italy.",['none'],['no narrative']
Jenal doesn't believe buyers must live with continual inflation.,['none'],['no narrative']
"John M. Richman, chairman and chief executive, wrote, (Wq have) stated our support of (Carter's) com- mitment to combat inflation through appropriate government fiscal policies, such as limiting federal ex- penditures, reducing federal employment, and achieving significant reductions In the federal deficit.,We still believe that such are the only means by which inflation can le brought under control.'",['fiscal'],['fiscal']
"Johnson, however, did not devote much attention to the cloud of inflation.",['none'],['no narrative']
"Kahn told the subcommittee: ""The OPEC increases yesterday (Wednesday) raise the real specter that we will be bumping at double-digit inflation for the rest of this year.""",['monetary'],['supply']
"Keesler said ""None of its knows how I warm the cold war will get,,but we do know that in the past 10 years of that war, both economic and social problems here have increased and inflation has been speeded up.",['none'],['other-cause']
"Kenneth R. Harney is executive editor of the Housing and Development Reporter, published by BNA, Inc., and author of Beating Inflation With Real Estate, published by Random House.",['none'],['no narrative']
"Kenvv (UP- Thp TFiimnvn FRnnnmi, C(nm- munity is to make a $6 million grant to Kenya to offset the effects of inflation aggravated by spiraling oil prices, it was announced here.",['monetary'],['supply']
"Key factors factors cited include the Watergate Watergate scandals, U.S. inflation, and disappointing American foreign trade figures.",['none'],['no narrative']
Kinney lowers the boom on inflation.,['none'],['no narrative']
"Last year the same people wanted Spiro Agnew..- 4 That new price-wage office in Washington, set up for Nixon's anti-inflation program, program, is getting new carpet on the floors and pictures on the wall, which sure sounds like it expects to be there for a while, not just until Nov. 12.",['monetary'],['govt']
"Letters To the Editor of The Times Letters To the Editor of The Times New Direction To the Editor: Hunger, poverty, inadequate housing, backward education, chronic unemployment and outmoded job training, crime, violence, civil disorder, unsatisfactory medical care, antiquated public transportation, insufficient consumer protection, tax squeeze for ""defense,"" inflation, gold loss and attacks on the dollar--our problems here today have grown more ominous than the Johnson-Humphrey Administration's problems in Southeast Asia.",['fiscal'],['no narrative']
"Like 94 of the 100 biggest earners on a list published by the National Tax Bureau, Han is in the real-estate business, a tribute to the enormous inflation in the land prices in this crowded island country.",['demand'],['no narrative']
"Lowering taxes, at this particular moment, could probably probably get through a) and b), but not c) the threat of inflation being as it is.",['fiscal'],['no narrative']
M9.50 Just an example of Vision World's inflation-beating prices.,['none'],['no narrative']
"MEXICO CITY, Dec. 16 The Mexican Government plans a cautious relaxation of its austerity program next year, allowing the economy to grow by about 5 percent but still maintaining its fight against inflation.",['monetary'],['fiscal']
MIND YOUR MONEY MIND YOUR MONEY Diamonds: A Facet -Finding Tour By PETER WEAVER Question: I've seen several magazine ads touting diam- onds as a hedge against inflation.,['none'],['savings']
"Magazine's associate editor Richard Barnett said replica of 78-year-old car has four horsepower horsepower engine and 26-inch bicycle bicycle tires and gets 75 m.p.g. Parts sold for around $650 in 1960, so you can count on inflation inflation raising that quite a bit.",['monetary'],['no narrative']
"Marston said housing starts for 1976 will be better and with moderate moderate inflation of about 5 percent could be from 1.4 million units to 1.5 million, he said.",['demand'],['no narrative']
McCracken said the current path of inflation was about 4 per cent a year.,['monetary'],['no narrative']
"Members fine York Stock Exchange ""DIVIDENDS OVER THE YEARS"" 81 PINE STREET 7751 CARONDELET AVE. ST. LOUS. MO. CLAYTON 5, MO, M A 1-5448 VO 3-0700 U.S. Economy Today NO BOOM AND BUST IN MAKING By Sam Dawson NEW YORK, Sept. 15 (AP) The auto labor pacts being hammered hammered out in Detroit have revived talk of possibly increased inflation inflation but without conviction that anything like a boom and bust is in the making, WlIITK & COMPANY incorporated memieusi New York Stork Exchange Miduest Stock Exchange American Stock Exchange (Associate) 506 OLIVE STREET, SAINT LOUIS I, MISSOURI CEntral 1-0282 ""DIVIDENDS OVER THE YEARS SCHERCK, RlCHTER COMPANY, INC.",['none'],['wage']
"Mil MM so THESE THEATRES AMBASSADORS AND THE NICE FEELIN' ft S s 7l Suburbia's distinctive supper club and cocktail lounge DINNER SPECIALS Monday-Thursday at inflation beating prices Barbeque ribs or pike..- $4.95 Lobster tails, lobster-steak lobster-steak' combo, honey duck, prime ribs or N.Y. cut sirloin $5.95 Friday-Saturday Beef Stroganoff or tenderloin tenderloin tips complete dinner $4.95 TWO PLUS COCKTAIL SPECIAL, (Anytime) Our ""double feature"" means more than twice the size for only twice the price.",['none'],['no narrative']
"Miller Upton, president, Be- loit college, Beloit, Wis., told the tax writers that the tax program of President Kennedy ""moves in the direction of dis- couraging private philanthropy and' it is bound to contribute to further inflation.""",['fiscal'],['fiscal']
Miller said that inflation and progressive progressive tax rates would add $8 billion to the taxpayer's burden next year while the scheduled Jan. 1 Social Security increase will add another $4 billion.,['fiscal'],['cost']
"Minarik re-emphasizes his attack In the Brookings newsletter that the Basic Necessity Inflation Index is ""jerry-built,"" and has serious defects.",['monetary'],['no narrative']
More Company officials say that these increases are necessary because of continuing inflation and higher employe wages.,['monetary'],['cost-push']
"More important, Mr. Nixon must do something tangible and useful about inflation beyond hoping that inflation will also get worse elsewhere.",['monetary'],['govt']
"NEED EXTRA MONEY? tf you are employed but need extra income to keep up with inflation, this could be the answer An opportunity to earn SI00-S200 ft, even J 300 per wk working in your spare time a tew nights a week.",['none'],['cost']
"Nb. y.W., X X FIGHT INFLATION ALL RENTS SLASHED Reduced lo 5127.50 8 up 51 E CARETAKER ON PREMISES 3315 5 iPO AV. N. 53-520I 3311 53PD AV. N. 635 2720 Brookdale GARDEN HWY. 100 4 BPOOKIYN BLVD.",['none'],['no narrative']
"Nevertheless, Levitt contended, by taking positive steps to cut government spending and by using direct credit restraints-in lieu of even higher interest rates than are already in prospect-to curb spending by consumers and business, Carter has laid some of the ground- work for an easing of inflation.",['monetary'],['monetary' 'fiscal']
"Newspaper articles over the years have pointed up various problems in providing public housing here-locations, inflation, waiting lists and grow- ing tenant dissatisfaction-all grimly familiar to housing authorities in most big urban areas.",['none'],['no narrative']
"Nixon Aide Warns of Inflation Danger DETROIT FREE PRESS Friday, Aug. 15, '69 Dollar Value Could Be Cut in Half Prsm UPI and AP WASHINGTON (UPI) With the latest indicators offering offering little relief, Treasury Secretary David M. Kennedy warned Thursday that the present rate of inflation would cut the value of the dollar in half in just 11 years.",['monetary'],['purchase' 'trade']
"No Cause For Fear Recession and inflation have combined to take their toll on the Social Security system, as they have on almost everything else, with the result that in the next fiscal year expenditures will exceed income by about 3 billion dollars.",['none'],['cost' 'govt']
"No one in the opposition has much that is convincing to say about better ways to handle employment, inflation, energy, the Arabs, the Americans, the Soviets.",['none'],['no narrative']
No reason to change our goal of cutting inflation down to 2.5 per cent to 3 per cent.,['none'],['no narrative']
Nor did he predict what the rate of inflation or of unemployment would be by the end of the year.,['none'],['no narrative']
Now the tax increase proponents proponents maintain that putting putting mere of the anti-inflation burden on fiscal policy policy would allow interest rates to come back down sooner than otherwise would be the case.,['fiscal'],['fiscal']
"Now when rampant inflation is just about to put us all in tne poor- house some brilliant. economists come up with the ""brand new"" idea that there may be too much govern-. ment regulation.",['monetary'],['cost']
"OKLAHOMA CITYRalph McGill, publisher of t h e Atlanta Constitution, voicing fears about what Richard M. Nixon m i g h t do as president to combat inflation: ""There is very real concern that in the effort to end inflation he will permit a little more unemployment.",['monetary'],['fiscal']
"OeSoto Hampton, M., 36, Villa Ridge King, S. L., 71, 4523 Ravenwood Mever, H. C A., 69, 912 Pitman Oelze, B. C, 71, 9342 Hazetridge Seelboch, G. W., 80, 249 Oeane Siemer, E. C, 89, 806 Chatlet Taylor, W. M., 70, 2320 Michigan Tucker, I. W., 86, 107 Lack Weston, E, L.. 81, 127 E. Washington Whltsett, C. E., 78, 4333 Chippewa 1976 Resolutions For Consumers WASHINGTON, Jan. 16 (UPD-New Year's resolutions resolutions aimed at personal finance can help American consumers consumers cope with a battery of economic woes from unem- ployment to the battle against inflation.",['none'],['no narrative']
"Officials put; base inflation at 10 percent t New York Times News Service WASHINGTON The White; House's wage and price monitors re- ported yesterday that the economy's,""basic rate of inflation appears to have risen to 10 percent a year, or a little' less, and is unlikely to come down'; rapidly. t The ""inflation update""by the Coun- cil on Wage and Price Stability was the highest official estimate so far of the underlying rate of inflation stripped of the 1979-80 surges of energy energy prices and home-loan interest; costs, which have been abating.",['monetary'],['no narrative']
"On top of that are rising costs for a variety of things, ranging from pay increases to state workers under existing collective bargaining agreements to the prospect of higher fuel bills for heating state buildings, not to mention inflation in general and an uncertain national economy.",['cost-push'],['no narrative']
One Solution Would Risk Recession By James L. Rowe Jr. Washington Post Staff Writer Inflation is the number one economic enemy.,['monetary'],['no narrative']
One is that he expects some inflation-indtrt;ed buying to persist.,['expect'],['no narrative']
One of our best hedges against inflation is vacant land.,['none'],['savings']
One reason inflation is comparatively moderate is that Mr. Schmidt and the heads of the Tabor unions agreed early this year to keep demands for wage 'increases between 6 and 8 per cent-and that the union movement is disciplined enough to allow that; as it is not in Britain.,['wage'],['wage']
"One way to fight inflation, he said, would be for the Reagan Administration to suggest wage moderation to them before entertaining any more of their cries for special help.",['wage'],['wage']
"Opposition parties have prepared for the elections by forming an informal coalition to concentrate on strong common candidates, and they are geared to emphasize the bread-andbutter issues of inflation.",['none'],['social']
"Other assets were difficult; and so they turned to gold, even at prices that now bear no relation to its useful value or to its value as a hedge against likely inflation.",['monetary'],['savings']
Others have suggested an excess profits tax to put of the burden of fighting inflation on big business.,['monetary'],['govt' 'cost-push']
"Our prices were GOOD before, but now they're GREATIt 7879 University NE. 786-7282 2 BEDROOM AVAIL. 5950 E. RIVER RO., FRIDLEY Jan. 1 occup., located lusl north or era, quiet, on outline, no pelt. $275 571-4799 FIGHT INFLATION-own reth-er reth-er than rent.",['demand'],['savings']
Outlays are up by 8 percent in nominal terms and only 2 percent after inflation.,['no narrative'],['no narrative']
"PAUL DOWNTOWN AIRPORT HOIMAN HllO ACIOSS ROIIKT STUICT MIDftl Better F. GREEN The threat seems remote. that the $6,750,000,000 deficit of this 1962 fiscal year will Eromote inflation, Dillon said, ecause ""government income and outgo will come into approximate approximate balance, by mid- December.",['fiscal'],['fiscal']
PLUS FREIGHT INCLUDES FREIGHT J $6160.36 Annual Percentage Rate 9.67 Plus applicable taxes. w y y I i w 1 1 n i INFLATION FIGHTER SfiVE $400 TO $700 OVER CURRENT liITEREST RATES JU.0RE u I iy Li 02 PER MONTH Or AV V MONTHS PLUS FREIGHT INCLUDES FREIGHT Sale Price $3999 10 Down Payment $426 Balance to Finance $3841 Finance charge $806.36 Total note $4647.36 Deferred Payment v rice $5073.36 Annual Percentage Rate v.6 kius appiicaoie taxes. 5 BRAND NEW PT0 PONY This offer is good on all new cars and trucks in: stock.,['none'],['no narrative']
Page 26 Inflation ruins a black family s dream.,['none'],['cost' 'social']
"Page 37 grams that may he causing higher prices and file with the board, the decision was that it Airline forced to delay cut- Bell unit issue sets record in- Frank Lynn on Democratic adding to inflation-for example, Interstate could well have been filed and lost.:1.I rate service.",['fiscal'],['no narrative']
Page 47. the rate of inflation in the United States economy.,['demand'],['no narrative']
"Please Turn to Page 1i,, Col. 3 INFLATION S BITE;Real aross national Droduct declined for the third straight quarter but, be- cause of increasing effect of inflation, the GNP rose to an annual $1.412 trillion during the quarter.",['demand'],['no narrative']
"President Nixon, like Britain's Britain's labortie Harold Wilson, Wilson, will use tight money to create some unemployment unemployment to cool off overheated inflation.",['monetary'],['monetary']
"President Urges Nationwide Fight Against Inflation LOS ANGELES 111 a major national speech on the economy, President Nixon Thursday appealed to all citizens to exercise more restraint on their spending and vowed that the federal government would lead the way hy reducing the government s payroll eliminating 40,000 jobs during the current fiscal year.",['fiscal'],['demand' 'fiscal']
"Prices Increase Sharply; Best Year Since '67 BY LOUIS DOMBROWSKI--T'Ibil- P-~v -1-ie%VAbHINGTON, J a n. 21- Consumer prices, released from the restraint of the wage- price freeze, rose sharply last month but the year 1971 as a whole had the best inflation record since 1967, the Labor Department reported an increase in the December consumer price in- dex of 0.4 per cent from No- vember, the nation s cost of living last year rose 3A per cent.",['demand'],['fiscal']
Prices have nearly trebled since 1900o; the serious inflation in the 16th century was much less than that.,['none'],['no narrative']
"Primary among these causes were the unbalanced government budget, easy credit policies which encouraged spending b e y o n d earning power and the cost-push inflation inherent in wage rate increases in excess of productivity improvement.",['fiscal'],['demand' 'wage' 'fiscal']
Protect vour nest-egg against Inflation.,['savings'],['savings']
"Proxmire said a decision now to balance the budget would have a great psychological effect, sending out ""one clear unmistakable signal that this government means business about inflation.""",['fiscal'],['expect' 'fiscal']
"REPUBLICAN NATIONAL Chairman Bill Brock said the ""American people face the prospect of a possible reces- sion"" if the inflation rate so high.",['expect'],['purchase']
Remember some of those shocking Continued an page 2 How to beat inflation: Spend now Continued from page 1 prices I mentioned at the outset?,['expect'],['no narrative']
"Republican jf ""Pocketbook Issues,"" such as taxes, government size and inflation, are on the voters' minds this election, O'Brien said.",['fiscal'],['no narrative']
Republicans and Democrats will have much to say about the inflation which Democratic policies are now causing.,['fiscal'],['fiscal']
"Respite From Rises And C. Jackson, Grayson, chairman of the Price Commis'sion, has indicated that i,f meat prices rose too igh his would launch an inquiry into supermarket pricing. *s the consumer who has not switched to poultry.-a since the prices of other meats began to advance i --or to eggs 0r, cheese has been getting a respite from price advances which, kept pace with the Administration's efforts to curb inflation.",['fiscal'],['fiscal']
"Restricting credit card use between consenting adults wlll not restrain inflation, just as limiting the number of yardsticks will not affect the length of a yard.",['monetary'],['demand']
Rising productivity leads to higher real wages and lessened inflation because output comes from the same amount of time worked.,['none'],['supply']
SILVER BULLION From Liberty Metals Financial protection against worsening worsening Inflation from a company with lofty Ideas about why you deserve an edge of our deleriorating economy.,['monetary'],['savings']
Sam report.;. report.;.' a sin i II demonstration ensued with participants carrying sins reading 'Slop Inflation!',['none'],['no narrative']
"Santa's Helpers only fund-raising fund-raising project, was JKI.lHHI, Kalhiesaid. and profits have increased each year Hut she pointed out that like everv-thing everv-thing else in these inflation ary tunes, toy prices are.riny (Vnter on Slockell dren come to the store to get i'P Street lor the Toy Shop.",['none'],['cost']
"Saving money, getting a tax break, fighting vacation inflation and soaring real estate costs that sometimes prohibit owning a year-round vacation home--these are among the reasons thousands of vacationers during the last dec Vacation Plan May Be a Wave of the Future By BOBBIE JUSTICE Tlm Staff W""t Saving money, getting a tax break, fighting vacation in- flation and soaring real estate costs that sometimes - bit owning a year-round vacation home-these are among the reasons thousands of vacationers during the last dec- ade have bought a relatively new vacation concept time sharing.",['none'],['cost' 'savings']
"Saying inflation is still a major problem, Rederal Reserve Chairman Arthur F. Burns recommended Thursday against any permanent tax cut and indicated his agency would not quickly ease credit to help the economy.",['monetary'],['rates']
"Secretary of the Treasington visit and, according to ury William E. Simon, highly placed German aide, ing to reports reaching here said that he had the impres- from Washington, may resign sion that President Ford would if there is a major switch in announce ""a whole series of on fighting inflation. measures to stimulate the Unit- A communique, issued as the ed States economy"" in his State Common Market summit the Union message next ing ended, said that Europeans month. had agreed to coordinate.",['monetary'],['govt']
"Send for Bob Walton's new retirement bulletin, How To Live With Inflation.",['none'],['no narrative']
She complained that taxes for education education will continue to increase even if the referendum fails because state aid programs increase automatically by about 6 percent to keep up with inflation.,['fiscal'],['no narrative']
"Since most toll roads receive neither state nor federal funds, they must finance soaring maintenance costs and expansion programs out of their own annual revenues or by issuing bonds in a bond market demoralized by inflation.",['monetary'],['govt' 'savings']
"Since stock prices went up and peo- ple thought there was inflation, they may have made an erro- n e o u s connection, Sprinkel says.",['expect'],['no narrative']
"Since we are likely to have a recession with diminishing but substantial inflation well into next year, Congress will surely demand both stimulation and controls; the President will hold off as long as he can and until Congress is irrevocably committed; he will then take that ""popular road,"" which, after six months will infuriate labor and antagonize the consumer.",['fiscal'],['govt']
"Slowdown Called 'Healthy' He noted that different persons, both inside and outside the Government, were reading recent economic statistics in different ways, with some reaching the conclusion that the business boom and inflation will continue and others concluding that they will not.",['expect'],['no narrative']
"Small en gine city, the original inflation fighters, do it again!",['none'],['no narrative']
"So a Profit Rise Forecast Materials Shortages Forecast In 2nd Half NEW YORK, Aug. 5 (UPI) - Shortages Shortages of metals, chemicals and other materials are ""real reason for concern"" that the rate of inflation will increase in the second half of 1977, according to an economist for Manufacturers Hanover Trust Bank.",['none'],['supply']
"Some observers believe that if the Administration Administration can point to progress in its fight against inflation, continued economic controls controls will prove acceptable at the polls next year. but the T e a m s t e r s Union, which announced announced this week that it supported Mr. Nixon's economic policy changes.",['fiscal'],['govt' 'social']
"Sound off In these times of inflation, about the only treat my husband and I can afford is an occasional sandwich out on weekends.",['none'],['cost']
Stanley W. Black said high inflation would jrobably forestall recovery until 1981.,['expect'],['cost-push']
State officials said the increases were needed because of inflation.,['none'],['govt']
"T - V iuJAJ ""Samuelson may be a Nobal prlze-wlnnlng prlze-wlnnlng economist, but so Is F.A. Von Hayek, and he expects much worse Inflation than I'm predicting.""",['expect'],['no narrative']
"THE INFLATION FIGHTER II 1 994-7700 NtrMmtst Suburtin Sil 5231 OPEN 2 to 4:00 ""l ACRE PLUS 5 rooms, 3 bedrooms.",['none'],['no narrative']
"THE.S E P T E M B E R price report showed that the rate' of inflation, while still high, is continuing to decline from the double-digit levels of a year ago., Consumer prices had increased two- tenths of 1 per cent in August, which *,was considered unusually low.",['monetary'],['no narrative']
TULSA presenting presenting a seminar 'How to Beat Inflation ki the Krs' July 24-25-26th.,['none'],['no narrative']
"Taking average business levels in the 1957-59 period as 100, the chamber's Louisville Business Index showed: Dec. Nov. Dec. 1969 1969 1968 Industrial Production 156.2 146.7 159.6 Trade and Services 143.3 155.8 142.3 Construction 130.4 131.1 131.3 Transportation 225.1 215.4 204.8 Financial 226.1 209.7 190.9 Total Area Employment 1327 133.3 132.1 COMPOSITE 162.1 159.3 157.4 Personnel news: Two executives formerly assigned to Louisville operations of American Stan- Food Prices Lead As Inflation Hits 6.1 Annual Pace New York Timet News Service WASHINGTON Consumer prices rose six-tenths of 1 per cent in December, bringing the increase for 1969 to 6.1 per cent, the Labor Department reported It was by far the worst inflation since 1951, early in the Korean War.",['no narrative'],['no narrative']
Talk about inflation!,['none'],['no narrative']
"Talking about life insurance companies, he said theirs is ""a dreary story since new sales died as inflation went up... and that will hurt their cash flow drastically in future years.""",['no narrative'],['cost-push']
"Temp TopRale No tee e.lS1094 SECRETARY-RECEPTIONIST""Filing shorthand end typing experience. experience. 2S7-5UM. 5?5 Fmpfoymenf SECRETARY TYPIST INFLATION"" WHO CARES?",['none'],['no narrative']
That is why the current cj tory over double-digit inflation Pyrrhic to some.,['fiscal'],['no narrative']
"That, in turn, would push the Federal Reserve further into a policy of raising interest rates to curb inflation, despite Chairman G. William Miller's ""hope"" that rates may soon level out.",['monetary'],['rates']
"The American economy is currently surging forward under a tremendous head of steam, and the pressures of inflation inflation are currently at their highest level since the end of the Korean War.",['demand'],['demand']
The Bast Inflation-Fighter 01 All!,['none'],['no narrative']
"The British specialty car maker. headed by American Kjell Qvale, said it decided on the move because of la- bor problems and rampant inflation.",['international'],['cost-push']
The Dow drops 4.86 NEW YORK - (AP) Slumping blue-chip Issues dragged the rest of the stock market down Thursday amid worries about increasing inflation inflation and the possibility of further interest rate rises.,['none'],['rates' 'uncertain']
The FEA said that after November crude oil prices will be allowed to rise in step with the rate of inflation.,['monetary'],['no narrative']
"The January rise of eight-tenths of I percent, if it occurred repeatedly in later I, months, would denote an annual rate of!increase of 10 percent, the so-called double-digit threshold of a very high""even ""runaway,""pace of inflation by American standards.",['no narrative'],['no narrative']
"The October inflation picture was even brighter in the Los Angeles- Long Beach metropolitan area, where the local Labor Department's staff calculated the monthly consumer price index as unchanged.",['none'],['no narrative']
"The Office of Institutional Research at the Uni. versity of California, Berkeley, issued a report on grade inflation last year, based on information from 23 of the 50 educational institutions receiv ing the mast federal aid.",['none'],['no narrative']
The Phillips Curve is a line on a chart representing the relationship between between unemployment and inflation.,['demand'],['no narrative']
